,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
2220,545x210,4,26,13,3,2,41,16,20,15,7,13,29,8,1,16,8,11,3,9,14,35,13,5,11,18,12,12,8,14,13,21,13,25,31,5,5,0,20,17,10,12,18,9,14,17,8,8,7,8,26,5,14,10,10,23,21,17,14,10,21,7,11,20,11,7,7,6,3,32,6,19,19,9,5,3,13,2,0,15,10,13,9,10,17,12,20,5,9,18,27,0,16,8,18,19,15,9,6,4,21,16,19,11,5,12,7,4,44,9,17,20,22,5,33,8,8,10,8,12,17,9,28,10,9,9,11,12,10,8,5,13,22,9,7,11,23,10,4,6,4,4,3,21,11,9,8,6,29,5,4,37,3,10,42,9,18,3,9,8,17,17,10,7,8,7,4,1,6,18,17,20,15,32,8,10,15,17,32,9,17,18,18,10,6,21,4,21,5,19,3,10,11,16,11,7,19,16,12,4,31,19,7,4,17,15,18,18,13,7,7,37,11,12,22,27,10,42,8,51,7,27,16,14,31,12,44,21,16,74,8,22,35,32,26,13,36,17,33,25,19,20,43,20,29,8,19,28,9,29
2221,605x324,30,6,7,26,20,100,17,22,10,26,4,23,10,15,21,30,8,9,18,19,24,14,10,19,28,21,11,11,29,11,32,28,19,29,23,19,19,10,6,11,11,11,31,33,16,22,19,5,12,16,7,13,12,17,16,12,14,18,37,4,9,27,23,18,14,17,17,4,12,9,20,16,25,7,6,3,18,8,27,17,21,34,11,22,7,12,18,8,15,5,4,10,11,7,16,4,13,14,8,15,22,11,20,22,14,27,12,14,11,14,54,23,9,26,7,14,7,5,10,19,10,19,11,29,14,28,9,4,23,17,8,10,8,18,27,27,15,6,3,15,8,19,29,11,16,18,24,13,30,9,56,10,3,27,8,31,6,14,10,7,16,12,31,12,13,27,10,24,27,14,11,24,33,16,18,16,52,39,15,36,15,22,13,12,4,10,27,24,11,10,7,20,21,18,16,6,22,15,17,31,0,10,16,7,19,12,30,19,22,15,51,11,0,33,25,13,35,29,53,12,29,23,11,26,22,47,42,23,51,12,43,37,30,30,20,44,21,36,32,25,26,75,29,27,21,26,60,23,43
2222,537x342,2,12,7,7,7,21,7,26,0,7,17,6,21,7,5,2,4,12,11,6,15,3,10,8,4,8,4,2,3,17,15,11,3,9,9,5,11,13,4,30,7,6,11,17,7,16,13,18,6,13,15,11,8,20,7,15,0,13,9,9,8,12,10,4,5,4,7,10,16,8,14,15,9,4,8,3,10,5,15,11,3,5,8,9,17,18,4,9,5,13,2,17,20,2,11,2,8,6,3,4,34,3,3,4,12,4,10,8,4,15,6,7,21,2,11,13,7,10,20,13,15,3,8,13,2,12,10,12,22,12,7,14,12,3,6,2,0,7,9,0,5,0,3,4,7,8,21,34,19,3,33,0,13,22,5,7,11,6,21,6,5,11,7,19,8,5,6,21,13,8,7,16,22,9,16,16,13,41,12,12,15,11,10,15,7,2,3,1,9,7,1,13,6,18,14,4,0,6,16,8,5,7,6,22,6,16,12,13,11,10,18,13,0,12,35,6,37,10,35,9,15,11,8,13,10,39,17,24,54,13,29,23,14,26,13,40,11,33,27,22,23,38,35,14,7,15,12,13,23
2223,334x473,3,1,10,12,18,28,6,27,2,10,5,16,15,13,0,8,11,5,2,8,20,12,0,5,4,6,13,8,11,13,14,1,3,21,12,1,2,5,3,18,8,12,3,8,12,21,0,0,10,18,7,7,13,12,28,20,6,3,18,3,1,4,5,15,4,7,15,5,6,2,9,7,8,8,0,15,4,9,9,24,5,11,15,4,0,8,4,9,9,13,10,10,6,13,15,0,8,2,9,2,8,7,6,6,24,11,25,16,8,10,9,5,10,14,25,6,3,8,24,11,3,8,7,13,7,12,13,10,15,18,0,6,6,2,3,12,5,8,1,1,9,4,14,5,14,16,8,16,10,8,14,3,4,16,5,14,3,10,14,5,5,7,10,17,5,8,21,4,15,7,0,9,16,5,23,9,14,17,6,8,1,7,4,14,12,14,18,2,19,11,2,2,13,17,2,5,4,1,5,11,4,5,25,3,11,14,21,18,6,7,10,10,15,10,21,8,26,10,30,7,7,12,4,11,14,28,25,13,35,7,18,21,20,11,9,27,14,23,17,9,17,46,12,20,13,16,26,3,29
2224,670x505,15,25,23,11,21,116,5,26,12,20,36,22,13,13,27,21,18,12,16,19,8,22,21,15,28,18,9,17,5,12,20,29,11,20,21,8,32,27,16,21,4,7,18,21,1,10,22,10,20,6,21,11,10,13,18,32,35,18,17,14,19,22,20,29,19,12,16,25,38,43,22,22,22,19,5,16,16,5,14,30,3,19,18,10,8,5,24,13,12,19,12,21,7,8,2,23,32,6,7,17,20,3,29,34,20,29,16,33,16,15,13,10,17,23,26,38,10,10,20,37,3,24,2,8,4,14,16,5,17,14,15,27,10,22,10,14,27,17,4,7,2,15,23,16,22,12,19,31,27,17,36,10,6,22,17,22,15,23,16,23,7,18,11,15,9,12,3,34,21,18,12,22,33,13,21,35,28,36,25,35,13,24,17,19,32,8,21,13,1,22,7,0,17,31,21,7,13,28,19,24,21,16,31,18,21,22,10,24,10,26,34,17,23,32,51,12,70,24,55,24,31,17,14,27,22,55,51,29,81,18,36,38,34,47,21,62,28,47,36,32,25,74,37,22,19,31,58,13,46
2225,569x516,20,7,23,14,6,41,17,15,8,18,27,22,12,6,25,21,7,13,15,16,20,30,21,12,7,14,10,15,12,19,11,12,11,41,20,5,28,1,2,12,12,16,17,18,18,13,16,14,1,5,8,10,22,15,8,37,8,11,3,5,14,19,16,17,4,9,12,4,7,7,6,5,17,6,9,12,2,14,6,17,7,18,20,9,9,12,6,0,8,14,13,11,10,7,10,9,4,12,6,8,22,2,11,13,4,13,24,13,5,10,22,16,5,13,9,13,0,10,21,13,7,12,11,18,19,7,7,13,31,13,7,62,20,5,12,17,4,18,8,6,13,11,17,10,10,24,15,12,12,8,17,9,15,26,13,7,7,14,10,2,9,20,11,15,1,8,18,8,19,20,6,27,22,2,6,29,30,15,17,23,6,21,17,18,11,19,22,5,4,10,4,6,4,20,13,14,15,9,21,9,3,13,20,11,26,25,36,23,27,17,2,12,10,7,34,11,51,22,51,8,17,16,13,8,11,46,27,15,60,11,20,28,27,30,13,40,19,39,29,26,24,59,29,15,12,16,43,4,39
2226,468x532,1,10,12,5,15,47,22,18,8,13,4,18,3,10,11,12,19,23,12,14,11,8,13,6,15,13,13,3,15,15,34,9,15,15,7,12,12,7,6,22,9,14,4,26,24,22,21,12,9,3,5,11,9,12,12,21,1,2,5,15,9,32,4,30,11,5,16,15,13,9,12,21,14,3,6,8,3,10,14,6,8,10,11,4,14,7,13,6,11,18,6,3,13,9,6,8,18,4,12,17,29,13,27,28,21,18,15,24,11,2,9,14,7,16,6,23,11,17,18,12,7,9,9,24,1,8,10,12,21,7,12,28,11,11,6,7,10,7,6,6,13,11,10,34,6,18,1,13,18,5,39,10,12,9,7,13,21,11,13,17,14,5,18,21,16,12,12,13,24,25,17,9,19,20,31,9,13,34,13,30,11,12,16,15,19,14,33,14,7,3,7,19,27,24,34,11,8,16,20,11,3,6,16,14,15,23,9,9,15,13,20,9,10,32,32,7,36,13,31,5,13,10,4,11,10,52,32,22,87,13,17,34,26,26,18,41,33,27,29,25,24,58,29,17,15,17,37,7,30
2227,597x554,23,6,5,6,10,46,16,23,7,18,16,28,11,10,21,14,13,13,1,8,21,11,4,21,27,1,5,15,16,22,2,7,10,29,5,6,26,3,8,24,11,19,6,11,9,15,7,14,1,7,9,18,14,4,15,15,32,12,16,15,6,17,7,14,12,14,15,16,26,48,13,21,18,16,5,2,13,9,7,10,11,25,17,10,11,16,14,5,11,8,13,0,9,0,12,5,22,11,8,15,13,3,5,23,32,8,17,14,8,18,19,12,15,16,14,10,5,7,5,18,4,6,13,27,11,12,14,16,12,11,5,13,15,10,29,24,10,8,6,8,14,14,15,6,19,11,17,13,19,12,15,2,10,16,22,10,14,12,17,11,15,14,4,14,14,16,21,19,35,17,7,17,28,11,3,17,15,26,17,20,5,3,16,9,8,12,7,3,7,27,15,4,22,4,11,6,11,7,8,20,32,17,19,14,9,3,5,17,12,22,12,17,6,5,23,9,30,11,45,11,19,12,5,14,11,40,38,22,40,7,20,16,15,24,14,32,38,33,18,12,19,30,20,14,15,22,35,5,35
2228,428x556,13,10,14,10,10,43,15,12,13,7,14,20,7,10,10,15,14,4,5,23,2,11,5,0,8,12,5,9,8,12,21,14,5,15,5,8,1,11,2,13,8,5,3,4,4,17,9,3,17,11,11,18,12,11,12,14,19,10,12,21,8,9,10,19,14,9,12,2,14,7,5,4,17,21,11,7,2,3,10,21,9,10,13,14,2,4,6,7,5,14,6,6,19,2,12,19,5,6,12,9,13,7,1,5,9,2,11,12,14,5,7,2,6,26,15,38,16,17,6,7,10,19,1,11,9,20,6,4,30,13,4,29,18,13,4,9,21,8,11,4,5,3,19,4,8,17,6,23,9,10,19,9,8,29,5,7,5,16,12,6,5,8,7,13,26,12,18,7,28,21,4,12,10,9,5,23,25,11,4,10,19,15,0,10,10,9,8,2,3,13,8,0,11,16,7,7,22,5,15,10,8,9,16,10,11,12,9,14,8,1,22,3,11,21,13,8,36,12,37,6,12,9,7,12,8,39,20,13,33,9,19,23,15,18,13,36,23,28,12,11,9,35,23,10,16,11,31,9,27
2229,610x594,7,3,17,10,3,35,7,17,2,11,11,4,8,3,16,11,6,2,12,11,5,7,6,3,11,9,13,17,5,10,13,13,0,4,7,2,7,9,9,13,9,7,9,11,3,7,6,13,1,6,10,6,0,4,1,12,5,16,6,3,3,5,4,0,4,3,11,3,6,5,4,21,10,6,3,4,7,5,10,11,3,11,8,6,10,3,9,0,5,3,0,4,10,15,12,9,5,7,3,3,15,1,9,10,11,11,9,10,8,1,18,5,10,20,2,24,12,3,16,5,12,4,3,8,9,9,7,9,14,7,4,15,12,5,6,4,15,16,9,9,2,12,4,13,9,3,3,8,8,0,11,1,27,6,5,7,1,19,6,6,2,7,21,4,9,12,10,11,25,10,3,12,11,1,8,11,19,11,12,5,13,11,0,7,15,6,16,8,5,6,2,2,11,2,8,12,13,4,5,3,5,5,1,6,7,17,11,6,7,13,7,8,1,4,36,8,43,8,31,3,17,7,4,15,5,32,25,16,37,9,22,18,27,25,11,20,19,30,15,26,14,15,18,12,15,21,19,4,23
