,x,y,z,field,total_count
2349,372,318,1,48,5638
2350,551,327,1,48,3353
2351,672,370,1,48,2984
2352,695,462,1,48,2259
2353,353,507,1,48,1655
2354,495,715,1,48,5689
2355,816,782,1,48,2553
2360,736,270,2,48,1332
2361,619,397,2,48,6735
2362,561,438,2,48,5558
2363,763,494,2,48,3125
2364,772,678,2,48,3333
2365,691,734,2,48,3329
2366,432,737,2,48,2739
2367,706,776,2,48,3803
2368,789,816,2,48,2302
2375,391,440,3,48,4110
2376,667,684,3,48,5981
2377,377,756,3,48,5127
2378,633,771,3,48,5980
2379,560,786,3,48,6612
2382,661,512,4,48,4644
2383,490,579,4,48,5088
2384,626,703,4,48,4743
2385,581,704,4,48,3282
2388,736,354,5,48,6509
2389,594,594,5,48,3260
2391,670,234,6,48,1187
2392,284,244,6,48,2851
2393,714,403,6,48,4675
2394,523,458,6,48,3452
2395,470,481,6,48,2687
2396,532,493,6,48,3766
2397,664,572,6,48,5740
2402,359,265,7,48,3351
2403,521,274,7,48,2145
2404,533,390,7,48,8661
2406,454,264,8,48,2568
2407,417,487,8,48,4639
2408,696,617,8,48,7419
2409,471,656,8,48,11003
2413,429,540,9,48,7132
2414,356,550,9,48,2877
2415,539,719,9,48,6335
2417,634,613,10,48,5954
2418,718,713,10,48,6098
2419,465,758,10,48,5024
2424,475,414,11,48,9587
2425,577,654,11,48,8798
2427,562,224,12,48,2253
2428,495,511,12,48,3008
2429,559,549,12,48,5962
2430,711,551,12,48,7231
2431,418,597,12,48,8688
2434,647,311,13,48,3536
2435,735,467,13,48,2932
2436,343,469,13,48,1682
2437,397,659,13,48,7664
2442,714,450,14,48,1767
2443,665,483,14,48,4823
2444,589,485,14,48,7115
2445,612,540,14,48,3077
2446,776,669,14,48,2787
2447,339,701,14,48,2818
2448,753,814,14,48,2620
2453,444,309,15,48,5692
2454,553,321,15,48,2354
2458,465,502,16,48,2481
2461,737,222,17,48,2485
2462,694,311,17,48,1645
2463,673,434,17,48,3822
2464,430,437,17,48,5095
2465,527,591,18,48,6147
2466,793,675,18,48,1728
2467,493,799,18,48,7487
2471,509,469,19,48,2463
2472,366,572,19,48,4130
2473,590,724,19,48,3865
2474,804,749,19,48,4073
2478,680,245,20,48,1062
2479,678,378,20,48,2133
2480,668,781,20,48,3511
2484,486,325,21,48,6032
2485,489,557,21,48,4112
2486,582,601,21,48,2823
2487,405,755,21,48,3034
2489,626,535,22,48,2326
2490,427,728,22,48,5221
2494,461,769,29,48,1908
