,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
474,509x256,11,26,29,12,26,69,35,28,11,24,16,16,20,6,36,7,10,17,23,24,10,23,23,10,30,8,16,23,34,9,42,23,11,19,20,9,26,27,13,37,19,32,23,19,8,9,8,13,22,25,9,20,26,12,24,11,15,9,21,6,10,18,14,33,22,11,13,12,30,8,20,15,14,14,16,9,3,9,8,8,16,11,16,8,11,26,8,6,9,31,8,3,9,7,18,23,21,16,16,15,20,9,14,21,29,30,22,14,5,7,21,15,19,14,6,4,8,24,7,21,10,12,8,45,15,21,14,21,33,22,23,32,17,16,4,20,6,17,9,13,17,8,6,7,15,12,8,29,12,39,33,13,5,26,25,15,7,6,10,13,18,17,20,20,13,15,9,30,23,36,14,31,35,7,12,15,17,23,22,35,17,25,8,27,15,8,10,3,12,11,14,17,29,25,20,17,18,6,12,15,13,28,12,17,8,24,31,17,8,14,38,11,3,18,49,20,62,14,39,18,24,37,20,63,25,42,51,30,71,21,29,38,38,42,17,41,28,50,34,33,33,80,34,20,22,23,38,22,31
475,406x268,10,11,16,5,14,20,3,16,8,12,8,2,0,9,26,10,1,3,11,6,4,19,10,4,3,7,10,3,3,7,6,18,8,12,8,0,3,0,2,17,2,5,15,14,14,10,14,2,13,7,3,7,12,10,10,30,5,2,8,15,1,11,0,16,4,16,7,3,5,4,7,6,8,11,7,8,12,9,0,12,20,5,0,11,7,9,4,0,6,9,12,15,9,3,10,4,3,6,23,15,1,1,15,7,10,4,16,19,2,9,5,6,6,22,10,6,18,4,18,13,4,4,12,14,7,4,3,6,14,4,3,17,7,16,6,14,8,0,2,2,25,5,13,5,6,3,10,5,8,11,10,12,7,23,9,13,3,14,6,8,0,7,11,6,8,4,13,3,3,4,11,25,27,9,11,16,20,15,24,17,7,3,12,3,6,6,5,6,1,4,18,12,13,15,1,8,7,4,14,7,4,2,5,24,28,7,10,17,4,13,15,15,5,2,25,9,18,12,20,13,19,18,15,25,8,22,26,13,29,8,18,16,19,18,9,17,11,19,19,29,17,45,26,13,8,22,37,15,31
476,341x638,14,25,14,12,13,44,28,15,7,9,12,22,13,9,33,10,7,12,15,17,25,32,14,19,17,24,19,22,6,12,16,10,11,28,11,6,17,9,16,17,8,17,18,39,17,5,8,4,18,21,29,15,12,23,28,25,25,3,22,26,7,43,28,29,9,11,3,19,24,11,4,38,8,38,17,8,18,15,10,3,9,13,37,13,3,43,16,6,13,19,19,4,15,9,13,11,11,25,16,16,17,14,18,13,25,10,9,19,12,21,17,12,26,19,5,25,12,17,39,29,14,27,11,26,18,25,14,6,41,2,3,12,12,6,7,23,13,11,9,15,10,18,17,24,13,18,19,39,13,14,53,7,13,22,9,9,5,8,6,8,30,21,17,11,28,23,2,5,28,18,13,34,18,12,1,23,23,14,24,23,27,13,7,9,22,13,13,11,17,25,10,6,22,30,23,33,15,18,9,14,17,8,43,19,22,33,27,10,14,18,34,18,1,37,39,8,40,15,44,8,21,21,15,40,13,63,49,25,82,15,10,29,39,38,14,33,18,35,27,41,27,52,40,20,9,20,17,6,33
477,313x764,23,13,4,16,34,87,23,16,2,20,15,35,11,12,5,10,13,19,22,23,9,25,18,9,27,13,10,18,20,11,25,17,5,34,18,16,7,12,6,9,9,20,8,34,13,12,17,10,4,11,22,9,11,20,18,37,13,0,23,13,15,11,34,8,13,7,20,23,10,18,20,19,20,22,5,14,18,12,15,14,29,16,5,5,6,21,5,0,5,29,22,9,13,7,15,5,14,24,17,17,21,16,9,15,26,12,1,18,16,9,7,9,19,7,8,19,12,23,9,17,27,33,12,17,7,12,19,7,21,14,11,34,12,29,19,24,17,13,1,22,13,11,11,16,12,12,14,28,10,6,37,17,7,21,7,35,3,14,18,17,14,23,16,12,10,13,6,8,10,8,5,13,21,11,10,16,22,14,22,15,6,17,18,7,12,19,39,8,5,11,19,10,50,21,14,21,23,10,14,10,21,12,12,22,16,21,20,27,7,12,20,8,8,10,27,11,49,23,42,7,21,22,16,34,7,46,41,35,56,18,14,25,30,36,14,48,23,41,34,24,26,61,51,23,10,28,50,13,26
479,652x268,38,15,18,9,24,110,19,19,17,38,15,39,19,14,15,13,18,5,17,18,25,35,11,11,8,21,14,15,17,13,37,21,19,21,16,6,21,9,25,20,9,24,19,52,16,19,22,6,12,18,20,17,8,17,40,41,24,22,30,10,9,22,10,32,19,14,21,50,22,14,15,43,26,47,17,17,12,8,11,16,20,14,21,8,13,16,11,22,11,25,14,3,21,16,16,36,10,28,21,15,16,7,10,24,30,15,39,19,9,19,24,19,11,30,20,31,17,27,25,37,17,37,15,33,14,29,43,16,24,24,20,26,20,21,12,14,12,26,5,16,14,10,22,12,27,23,20,26,9,1,69,25,8,38,11,42,21,12,24,7,8,36,19,18,32,9,21,22,47,26,10,31,41,9,17,21,27,26,25,28,30,14,22,39,27,17,24,16,13,12,29,24,51,15,34,20,25,18,28,23,23,21,21,20,16,31,30,21,25,33,31,22,13,41,77,15,81,15,63,18,37,33,17,45,14,68,54,32,82,10,12,51,70,23,23,51,24,57,44,50,36,56,36,22,26,39,16,8,51
480,432x293,14,4,5,2,4,20,14,26,10,9,15,7,8,11,18,13,0,14,9,11,9,9,4,16,5,5,9,5,8,8,10,0,19,12,8,6,7,9,7,14,12,5,1,15,3,9,6,0,8,3,4,9,10,7,7,10,1,20,2,11,4,12,7,5,3,6,11,7,5,6,2,6,7,25,1,10,2,0,7,2,6,12,12,12,7,5,4,13,5,23,14,5,17,0,16,1,1,4,0,19,2,12,2,12,4,3,0,21,5,7,2,10,0,15,3,15,18,4,10,0,3,4,0,13,10,20,19,2,9,9,2,14,0,18,3,17,13,1,3,0,15,12,14,5,3,13,8,9,3,9,17,0,7,28,7,5,1,9,8,1,0,4,0,12,6,5,0,10,5,3,7,11,14,7,6,6,1,8,3,13,19,0,4,8,11,0,8,3,0,3,2,6,13,23,4,9,16,1,1,10,6,3,3,0,9,6,3,6,7,7,16,2,9,19,27,4,22,9,11,8,25,10,5,22,6,24,25,8,28,7,8,16,20,12,6,29,9,17,11,22,9,22,13,7,15,10,12,7,19
481,652x320,8,3,13,3,22,74,15,25,5,14,25,28,23,19,8,14,11,0,12,1,16,13,2,9,27,1,8,36,23,18,33,14,14,26,7,13,11,4,7,34,1,16,22,20,11,37,5,7,8,14,16,16,15,4,23,28,13,11,24,13,16,31,6,32,11,0,5,11,10,24,18,17,16,22,11,22,8,0,8,12,9,9,10,7,10,15,11,9,13,17,5,10,13,5,10,7,16,8,7,12,30,1,19,7,19,5,23,20,13,14,6,11,9,28,24,34,15,4,22,15,21,15,18,18,11,3,16,7,22,8,2,17,13,21,7,9,24,9,16,12,4,1,31,22,10,29,2,16,4,13,31,10,8,27,8,13,10,18,17,7,22,24,9,20,1,11,6,7,9,29,17,35,19,12,11,4,10,25,20,32,27,11,4,14,23,11,35,7,13,10,14,12,27,20,21,19,9,16,15,24,12,7,15,21,30,25,22,3,26,20,2,6,9,23,60,15,65,9,42,7,27,18,23,31,11,47,37,11,88,20,12,43,45,27,11,38,22,33,19,45,26,47,33,14,27,27,11,1,31
482,640x357,18,21,23,16,21,59,13,18,30,11,10,35,18,21,8,3,22,14,10,7,37,17,10,19,13,23,12,5,13,25,7,17,18,24,3,6,23,11,3,5,6,25,23,33,8,25,21,10,9,6,6,15,18,27,28,35,8,6,19,14,2,13,20,29,19,11,7,12,8,57,9,21,14,13,15,1,15,1,13,11,25,23,13,4,23,13,19,12,21,23,21,5,18,25,33,14,15,12,19,16,24,13,7,22,12,4,17,45,6,13,22,11,14,29,5,33,13,17,21,13,16,22,6,42,4,28,25,20,21,19,14,39,27,20,5,14,13,16,6,7,20,14,12,15,13,42,10,26,13,14,50,4,21,33,4,17,18,18,22,11,23,26,28,37,26,5,11,6,15,27,17,58,29,16,13,21,32,24,6,2,13,26,1,4,8,21,13,14,20,1,20,14,29,22,23,14,11,14,12,12,5,22,15,10,24,17,28,18,10,21,22,5,11,17,53,11,52,20,48,14,28,23,17,25,14,55,46,18,43,12,11,45,59,30,15,45,50,55,42,31,32,30,46,22,22,37,12,2,28
483,430x410,25,11,15,12,27,50,15,31,16,32,26,24,2,14,17,18,9,8,10,11,22,7,5,9,32,7,5,27,6,11,47,19,13,29,10,11,7,14,26,9,5,18,14,27,20,23,20,7,16,13,10,5,14,15,20,15,23,20,21,9,35,25,15,34,15,16,7,23,5,16,25,20,20,37,14,18,16,14,12,4,11,21,19,20,9,20,19,4,8,35,11,12,16,3,19,2,31,21,18,17,37,18,23,19,19,20,9,14,12,16,27,6,10,19,31,19,31,22,13,19,15,17,18,26,1,32,9,6,21,22,15,35,13,17,8,36,22,19,3,16,7,8,24,12,20,11,11,30,22,16,26,4,13,28,4,9,5,25,18,19,2,10,7,16,10,9,12,40,26,23,13,16,55,16,7,21,47,19,8,7,26,15,5,7,12,20,7,14,12,8,14,12,21,13,14,10,18,12,9,9,7,10,25,11,5,14,28,26,11,8,13,13,15,25,55,14,68,26,46,20,24,30,11,44,15,53,48,21,88,18,11,38,52,32,16,49,25,35,35,36,38,40,36,22,20,21,25,6,38
484,357x425,3,4,5,7,3,41,13,13,2,10,28,17,6,3,3,17,2,7,6,23,6,9,0,8,13,8,2,8,6,12,13,11,2,19,18,1,1,3,9,3,10,9,2,11,13,19,21,6,10,14,8,5,6,3,5,21,10,6,10,10,0,13,3,19,6,8,11,4,12,4,8,9,17,13,5,0,13,0,7,9,1,9,3,5,3,14,5,4,4,6,6,6,13,6,7,12,2,6,7,9,12,8,7,9,14,0,18,6,7,4,4,11,11,16,9,31,3,9,12,9,4,12,15,17,2,7,14,5,25,0,8,15,1,6,3,13,4,11,5,8,1,2,13,7,7,17,4,6,3,9,21,4,6,34,5,14,5,7,19,2,1,8,1,5,3,11,5,2,1,6,2,32,21,21,7,3,17,10,0,12,10,1,7,3,5,13,4,2,9,11,5,13,21,7,14,5,1,8,5,8,3,8,5,3,16,16,10,1,2,18,9,13,12,14,30,4,26,9,23,8,19,13,3,22,5,29,14,18,29,3,7,23,27,11,6,16,20,24,25,20,10,17,13,14,10,12,17,2,16
