,x,y,z,field,total_count
2626,305,223,1,50,5189
2627,516,284,1,50,3708
2628,387,357,1,50,4528
2629,460,385,1,50,5313
2630,671,404,1,50,5587
2631,365,734,1,50,3529
2635,522,330,2,50,4865
2636,470,429,2,50,5799
2637,304,460,2,50,6963
2638,349,482,2,50,4008
2639,433,711,2,50,7392
2643,378,442,3,50,5513
2644,293,529,3,50,3845
2645,445,555,3,50,4356
2646,266,573,3,50,6291
2647,682,602,3,50,5620
2648,586,694,3,50,5479
2650,336,303,4,50,4519
2651,583,442,4,50,4985
2652,603,543,4,50,6309
2654,274,679,5,50,4941
2658,625,373,6,50,7700
2663,455,210,7,50,8893
2664,205,337,7,50,6302
2665,359,533,7,50,4877
2666,513,563,7,50,4902
2667,464,620,7,50,6456
2670,474,756,8,50,9250
2673,225,263,9,50,7275
2675,641,618,9,50,6203
2676,325,774,9,50,6656
2681,355,350,10,50,5125
2682,732,540,10,50,8341
2684,601,276,11,50,7902
2685,231,521,11,50,5438
2686,598,633,11,50,6757
2693,367,244,12,50,6444
2694,433,294,12,50,7956
2695,268,319,12,50,8292
2696,728,588,12,50,5145
2697,321,691,12,50,6312
2698,558,790,12,50,4553
2699,363,284,13,50,2835
2700,576,317,13,50,7664
2701,477,339,13,50,5960
2702,355,577,13,50,6495
2703,309,642,13,50,8352
2706,582,233,14,50,8500
2707,594,498,14,50,7185
2708,538,631,14,50,6861
2709,644,703,14,50,5186
2710,323,731,14,50,2790
2711,279,747,14,50,3929
2713,440,452,15,50,8041
2714,424,520,15,50,6974
2715,476,537,15,50,5437
2716,547,573,15,50,5500
2721,239,384,16,50,7519
2722,217,431,16,50,4635
2723,220,659,16,50,4460
2724,669,726,16,50,2686
2730,548,417,17,50,9632
2731,546,473,17,50,5297
2732,416,641,17,50,5692
2733,374,748,17,50,4980
2734,380,820,17,50,7493
2735,492,391,18,50,5852
2736,375,410,18,50,7187
2737,544,744,18,50,6521
2738,242,758,18,50,4983
2742,497,223,19,50,7779
2743,511,273,19,50,5931
2744,626,436,19,50,5306
2745,517,511,19,50,6659
2746,589,708,19,50,4730
2750,637,317,20,50,8017
2751,307,345,20,50,5386
2753,290,492,20,50,5660
2754,597,785,20,50,7710
2757,279,209,21,50,6685
2759,364,478,21,50,3908
2760,387,569,21,50,4266
2761,523,706,21,50,7145
2764,766,582,22,50,10442
2765,519,801,22,50,6426
2767,318,546,23,50,3482
2770,206,493,25,50,2785
