,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
2626,305x223,23,13,3,1,19,46,21,30,5,24,15,34,20,16,5,22,11,12,18,28,8,33,18,24,20,12,15,20,14,26,43,23,30,60,21,8,7,13,15,10,19,5,19,17,13,27,15,7,17,18,15,19,10,9,37,10,26,14,25,8,14,33,21,39,5,8,22,12,40,14,13,15,17,19,8,11,9,18,18,24,11,18,12,16,17,20,17,18,24,19,15,7,18,8,20,4,11,20,24,16,19,11,25,11,27,19,22,22,7,16,19,33,8,16,16,34,12,6,19,10,10,13,6,22,9,17,10,24,21,18,20,16,10,16,10,23,11,35,28,7,13,7,11,25,7,8,13,40,8,9,44,18,9,35,12,21,8,27,24,10,14,12,12,23,22,15,19,4,27,16,16,33,31,7,27,15,39,46,16,20,9,11,21,23,28,28,27,12,7,23,36,9,47,16,36,29,23,16,11,17,8,1,25,13,17,25,4,35,25,16,31,15,8,19,77,15,70,20,70,7,3,3,4,10,14,56,53,33,167,14,32,54,71,42,19,53,25,47,54,28,10,55,18,16,12,31,43,10,50
2627,516x284,4,14,7,17,17,51,9,28,17,20,12,23,14,6,27,17,4,11,21,14,17,20,6,18,10,7,15,15,11,8,43,8,14,33,6,10,15,7,17,24,9,23,12,14,14,15,14,6,11,2,9,9,12,8,24,30,9,11,5,30,9,23,9,4,14,5,5,19,11,5,5,22,17,6,6,5,1,8,15,15,7,6,32,1,15,3,7,4,9,9,14,23,1,11,5,3,1,7,13,8,11,8,12,2,21,7,10,24,6,6,27,2,12,21,16,12,5,13,26,21,10,18,5,15,1,16,8,26,9,10,2,21,13,12,3,3,6,23,15,5,12,6,11,20,10,7,21,14,11,6,27,8,13,16,2,7,4,10,4,20,14,20,16,23,16,3,13,11,20,17,8,9,18,17,10,13,30,17,13,6,15,9,12,15,15,5,8,4,8,9,12,3,19,12,19,11,21,15,7,16,6,9,9,8,4,15,22,20,13,7,13,8,9,27,80,10,52,13,39,16,15,11,5,14,10,69,44,11,106,12,16,38,53,35,6,54,16,29,45,35,12,27,10,11,18,21,42,3,32
2628,387x357,19,30,0,14,21,51,22,25,20,25,12,20,20,6,21,22,1,6,11,19,16,15,3,7,27,18,4,20,11,8,32,19,7,23,18,5,12,9,32,15,6,14,18,23,12,35,12,7,14,19,8,14,10,3,19,21,16,6,20,13,18,18,5,17,17,30,7,18,16,5,24,20,8,24,19,22,21,15,18,17,9,11,15,12,11,12,29,9,13,18,17,6,4,4,10,12,8,15,5,12,12,6,31,16,13,11,17,10,13,14,22,12,9,18,4,32,6,29,15,14,0,13,0,23,7,20,9,3,14,6,13,13,31,26,9,20,26,12,10,6,3,17,13,16,13,9,14,28,7,16,28,10,18,21,14,28,25,23,11,4,6,17,17,23,17,14,4,17,16,16,3,29,36,11,11,22,13,35,22,37,18,14,1,15,10,31,39,15,14,15,9,2,21,20,20,16,21,15,13,20,12,11,15,15,23,18,18,4,7,13,14,10,26,27,58,9,55,16,48,15,33,45,32,55,13,71,45,16,111,18,31,36,65,22,20,59,29,41,42,21,12,37,11,11,12,35,39,8,39
2629,460x385,26,23,12,23,22,45,21,42,14,11,8,42,14,22,9,22,2,34,15,27,21,39,6,16,18,4,17,15,19,22,18,36,21,66,17,24,23,12,37,23,26,29,13,22,11,18,18,11,29,27,9,15,14,7,24,35,11,13,24,15,21,17,25,22,9,10,15,30,28,10,17,13,6,21,16,15,17,4,12,21,30,13,39,1,12,25,8,9,29,23,9,16,35,19,25,11,17,5,17,13,26,18,5,14,19,16,25,19,13,11,33,11,18,23,25,11,4,24,29,23,27,19,5,24,15,25,21,13,37,19,13,11,21,23,17,11,24,14,10,15,9,18,32,19,18,21,29,32,19,21,15,1,13,10,6,17,4,13,19,2,14,17,16,9,16,3,20,26,9,31,11,26,58,26,8,37,22,3,34,16,12,18,6,20,40,19,22,9,10,9,14,16,12,15,10,14,24,21,18,18,14,16,23,15,27,28,15,10,14,8,27,17,7,32,63,16,78,17,70,19,33,29,24,38,17,62,69,34,97,19,42,55,62,38,14,68,32,53,53,10,29,42,28,13,13,29,26,3,43
2630,671x404,13,33,25,17,13,74,35,24,16,23,10,48,12,10,26,32,17,12,17,16,8,22,16,15,5,14,8,40,9,16,32,32,14,37,24,11,13,15,17,21,19,32,31,17,2,34,8,6,12,15,21,22,6,41,11,32,26,22,26,19,27,31,14,16,12,5,9,11,26,9,7,27,32,25,26,13,16,15,19,21,27,28,9,15,11,28,12,10,21,20,7,13,16,12,10,22,22,12,3,27,28,24,11,16,14,24,14,19,12,17,30,26,19,33,18,18,15,19,16,14,20,23,13,34,9,18,12,4,38,20,9,13,28,12,8,21,15,41,8,10,9,10,30,28,23,25,27,30,20,29,38,22,3,25,11,23,4,9,41,16,15,20,23,12,32,4,33,11,15,17,7,16,59,13,16,11,13,20,9,14,23,14,21,20,24,23,23,10,10,10,29,20,26,21,44,16,33,12,4,38,13,14,9,6,16,24,17,32,12,13,34,13,17,37,65,17,52,28,76,4,59,72,43,68,17,53,48,28,81,16,34,35,63,44,20,64,23,38,43,20,25,80,22,24,16,32,73,24,46
2631,365x734,11,8,9,10,18,36,13,27,10,17,12,10,13,7,17,7,11,7,14,16,12,15,2,10,14,11,9,5,17,22,16,4,2,38,4,1,5,2,17,9,6,14,22,17,6,3,14,9,8,11,16,8,11,12,16,18,7,19,18,5,8,21,16,10,4,11,9,14,19,8,12,7,5,12,18,2,8,5,7,12,4,10,18,15,9,6,7,8,21,10,6,2,26,1,16,4,4,8,5,10,23,10,4,9,10,5,20,38,7,5,29,9,15,12,10,7,9,15,12,22,9,13,14,14,10,14,9,5,17,3,3,19,8,21,11,19,12,16,5,7,9,11,4,17,16,9,12,18,5,5,61,3,6,10,10,35,16,20,9,7,2,12,21,27,7,11,7,9,7,16,7,9,29,9,14,12,9,26,2,18,11,8,9,3,22,12,16,9,5,6,3,4,15,22,7,6,16,8,2,2,10,2,7,9,7,9,1,30,4,13,9,4,5,31,47,12,46,15,41,4,15,12,13,20,15,39,30,22,101,13,24,34,53,35,15,44,30,40,38,31,23,77,27,12,11,26,35,5,34
2635,522x330,14,8,20,12,24,41,13,23,31,24,6,20,12,23,14,22,21,28,8,11,28,10,15,20,12,12,8,30,9,23,26,13,7,35,21,11,17,7,14,5,11,25,17,17,27,20,11,11,5,10,14,13,18,11,52,5,5,13,15,21,15,18,26,16,4,12,22,21,17,12,9,9,19,13,23,5,15,13,8,27,14,15,26,14,7,13,34,34,27,27,5,12,18,21,29,7,10,6,20,20,13,15,19,31,32,0,28,34,11,22,20,30,18,24,21,20,22,18,12,6,9,21,4,38,11,4,19,8,33,13,10,24,27,9,8,20,12,46,7,3,9,16,29,10,9,9,16,30,5,12,42,7,10,21,12,28,9,12,13,17,4,16,14,11,10,9,8,19,21,22,22,16,30,27,12,19,31,10,30,23,18,27,14,29,24,18,18,17,15,13,2,20,13,15,28,6,20,12,17,28,27,22,23,13,15,29,12,20,5,31,12,11,6,11,75,12,65,12,68,5,25,15,6,26,13,71,62,16,95,15,23,50,72,37,30,60,23,41,66,18,10,36,16,11,13,39,40,4,30
2636,470x429,20,7,22,17,27,66,16,34,16,26,19,15,11,28,17,21,14,23,10,36,41,27,22,11,20,22,17,18,10,28,48,15,9,57,12,15,28,7,32,33,21,16,6,32,7,14,25,23,15,11,17,8,27,14,36,41,19,11,20,11,18,15,26,15,13,32,6,21,15,15,31,38,17,29,30,13,17,22,29,17,8,24,17,7,14,15,11,16,11,23,8,32,12,24,15,25,15,16,16,14,30,8,20,21,9,17,22,24,16,14,38,19,32,21,7,24,14,22,28,27,38,16,20,19,15,25,27,25,18,21,21,18,28,15,13,34,14,19,20,24,8,16,27,27,8,30,2,28,17,8,30,4,22,18,8,31,10,13,17,15,4,15,21,31,13,10,19,15,23,26,18,16,57,17,25,31,11,20,32,18,23,23,15,12,23,19,25,18,12,12,10,12,16,25,23,16,4,16,20,21,5,14,28,25,14,15,12,33,23,11,18,29,21,21,97,23,86,29,61,8,26,26,15,36,13,70,72,44,119,23,35,56,78,63,23,74,37,69,69,18,26,46,30,10,23,50,45,2,46
2637,304x460,12,16,39,16,10,92,50,55,7,24,31,33,37,21,17,35,19,24,29,12,25,34,13,17,36,21,12,25,22,21,42,45,15,67,3,18,36,15,22,30,15,39,22,21,9,38,33,18,18,7,26,12,28,22,47,20,5,10,13,10,12,39,19,26,45,25,20,14,21,17,16,19,27,42,10,13,15,5,7,26,15,15,50,19,10,22,14,9,16,16,10,22,24,30,17,16,18,21,3,30,25,37,15,31,36,17,17,45,24,23,58,11,9,20,15,37,15,23,33,15,18,21,17,34,36,8,33,34,21,18,16,26,22,21,24,37,16,16,10,36,22,18,12,16,19,30,17,35,18,32,56,7,9,39,13,26,20,25,18,28,17,11,41,35,26,22,49,29,11,16,14,20,42,38,26,25,40,17,21,24,25,26,19,20,16,7,17,25,28,23,24,5,41,16,35,9,13,47,22,31,21,6,28,11,15,31,30,42,25,13,36,20,30,26,105,28,84,24,81,14,23,9,21,34,18,85,87,42,194,21,50,61,92,74,20,80,51,70,80,37,40,95,48,28,31,50,59,8,76
2638,349x482,15,7,15,16,21,45,12,17,13,18,22,15,11,8,13,10,8,9,14,3,14,21,14,12,24,4,8,10,9,5,17,14,10,28,8,13,20,6,0,36,23,36,19,13,6,8,18,7,6,5,10,9,15,6,23,17,8,10,19,7,15,11,17,21,19,14,16,5,22,5,18,9,7,10,19,22,4,5,6,10,11,1,26,6,4,7,8,13,13,6,8,19,3,10,5,10,7,12,11,11,10,20,14,8,15,9,6,18,12,11,38,10,17,16,17,4,18,16,20,20,10,9,7,17,11,14,7,12,13,15,3,23,25,27,9,19,6,9,12,9,13,5,6,21,10,13,6,23,0,18,43,10,11,20,11,0,14,15,12,14,23,12,24,19,9,12,8,17,22,15,7,24,32,12,16,24,3,19,10,8,13,5,7,20,15,15,23,14,13,4,6,3,22,15,11,11,12,6,11,14,17,8,10,11,6,6,6,2,19,15,30,9,5,27,73,17,62,19,47,19,13,10,10,25,6,48,48,27,95,10,30,40,60,52,15,57,35,58,52,20,39,36,28,20,17,35,25,1,35
