,x,y,z,field,total_count
474,509,256,1,37,4931
475,406,268,1,37,2592
476,341,638,1,37,4670
477,313,764,1,37,4382
479,652,268,2,37,5969
480,432,293,2,37,2173
481,652,320,2,37,4194
482,640,357,2,37,4770
483,430,410,2,37,4727
484,357,425,2,37,2409
485,609,426,2,37,3644
486,770,438,2,37,6340
487,676,502,2,37,3727
488,449,764,2,37,3725
489,446,798,2,37,2942
494,700,212,3,37,4879
495,610,241,3,37,7434
496,518,336,3,37,5454
497,325,418,3,37,3629
502,461,272,4,37,4533
503,750,368,4,37,6766
509,777,258,6,37,7935
510,624,590,6,37,5294
514,702,288,7,37,5769
515,318,537,7,37,2941
518,697,378,8,37,5990
519,802,529,8,37,6771
520,734,604,8,37,9464
521,404,676,8,37,7398
522,422,600,9,37,9105
526,612,293,10,37,4892
527,546,409,10,37,7852
528,509,537,10,37,7980
529,674,577,10,37,4151
530,630,658,10,37,9161
531,526,668,10,37,7885
536,730,265,11,37,5734
537,718,334,11,37,7709
538,348,501,11,37,6122
539,802,586,11,37,9340
543,669,442,12,37,4597
544,440,448,12,37,5783
545,816,476,12,37,9628
546,762,490,12,37,6760
547,445,722,12,37,7182
552,446,357,13,37,4390
553,380,420,13,37,4628
554,614,440,13,37,2907
555,726,449,13,37,4993
556,420,521,13,37,5843
557,594,692,13,37,8052
558,281,776,13,37,5078
561,497,470,14,37,7006
562,588,512,14,37,5644
563,553,725,14,37,8658
565,366,461,15,37,5090
566,554,498,15,37,4446
570,630,337,16,37,3491
571,692,412,16,37,4220
572,565,562,16,37,8116
573,602,608,16,37,3740
574,504,618,16,37,7367
575,377,808,16,37,7755
581,361,216,17,37,4268
584,477,349,18,37,3746
585,481,805,18,37,5068
586,438,812,18,37,5166
587,272,817,18,37,1616
589,576,625,20,37,5255
590,817,533,25,37,6608
591,558,813,25,37,6262
592,326,817,25,37,3321
