,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
1,490x760,34,14,29,17,31,85,28,30,24,38,38,21,25,7,5,29,7,20,11,21,16,26,11,45,31,15,13,18,12,18,53,37,14,45,13,25,28,17,18,19,16,21,31,32,17,29,17,13,10,29,16,23,14,11,34,30,25,27,16,33,20,26,13,42,17,10,20,9,14,34,33,28,5,33,17,23,24,2,18,24,24,7,6,19,18,17,18,5,19,40,23,17,37,2,33,5,24,15,22,20,37,14,27,39,27,23,12,26,4,39,13,15,18,22,11,45,8,39,17,16,25,42,14,36,16,18,29,22,18,8,21,37,30,34,12,24,20,40,10,19,29,22,16,18,22,24,36,44,22,19,44,23,19,56,30,16,10,15,33,24,13,13,23,24,22,10,13,14,36,29,26,19,42,23,10,26,27,11,39,32,19,11,8,25,29,29,31,7,21,11,33,5,26,20,33,5,16,11,27,28,13,14,21,43,24,50,26,10,22,31,31,19,16,32,53,4,55,25,63,16,42,39,16,41,17,49,52,19,111,18,31,35,64,32,12,56,25,52,27,32,37,56,28,18,20,28,54,11,30
5,432x722,17,1,8,14,15,80,18,28,8,19,17,25,13,10,18,21,13,7,12,23,14,22,10,13,27,6,19,15,15,10,33,33,3,11,16,10,20,8,22,11,9,36,0,23,13,22,12,7,16,5,17,17,15,32,7,26,15,5,32,14,13,17,1,11,10,11,26,15,11,16,10,33,9,1,28,15,16,12,6,16,29,11,23,12,6,7,15,4,13,9,11,24,16,7,20,7,9,0,6,21,16,13,26,24,25,21,3,16,14,11,15,17,13,12,11,23,15,22,6,16,18,11,6,9,23,14,17,10,21,15,15,18,15,29,15,9,15,16,15,11,12,15,17,4,19,30,26,18,22,18,12,14,16,22,27,9,9,4,21,21,13,3,18,15,11,16,10,10,31,18,11,19,8,20,19,16,18,13,28,20,15,19,15,21,18,24,36,19,16,14,32,10,18,24,18,8,33,16,4,11,19,5,13,14,10,12,18,15,16,15,9,17,7,34,34,12,51,17,40,17,43,37,31,41,11,45,37,24,59,20,31,32,29,28,15,36,17,36,29,18,37,48,46,16,14,24,44,16,21
6,250x740,12,14,13,5,8,72,37,38,29,23,11,14,33,14,12,18,10,17,15,43,18,12,6,3,30,8,23,6,22,10,32,24,30,41,5,4,10,8,13,14,7,14,4,27,21,18,34,19,12,10,20,12,14,33,32,24,17,14,9,28,16,14,18,26,6,16,17,8,13,10,9,21,12,35,16,24,21,4,8,12,4,7,41,5,17,18,19,10,10,18,5,3,19,10,13,12,20,8,21,18,18,10,30,19,18,11,21,22,11,15,8,30,29,29,11,18,11,2,25,3,23,10,4,19,8,17,28,20,7,11,4,29,13,48,2,11,2,15,7,7,27,22,16,24,10,19,20,16,21,21,59,18,8,28,7,13,14,19,21,19,11,6,16,17,28,30,11,21,41,35,3,29,25,10,21,12,25,19,14,13,9,16,12,11,16,17,51,7,13,14,15,7,19,18,17,9,18,25,27,19,21,13,18,25,29,20,21,25,18,22,27,11,16,25,32,4,40,15,44,9,45,31,14,38,7,46,25,26,97,18,22,30,47,30,9,37,12,28,30,14,25,45,32,15,11,25,24,2,34
10,352x754,24,7,9,7,11,39,23,41,15,18,33,16,15,7,13,10,12,14,10,20,17,10,10,13,24,5,8,10,22,11,45,16,2,8,17,7,18,14,2,28,5,23,10,32,11,11,20,9,10,21,15,9,10,11,16,7,17,13,14,5,14,12,17,8,5,5,15,15,15,14,26,20,17,28,14,11,18,5,8,16,21,23,19,26,11,10,11,5,10,23,12,5,17,16,18,20,9,17,6,3,24,17,14,18,25,16,16,0,25,34,22,16,18,11,13,21,15,20,15,14,7,35,12,8,24,6,29,19,33,9,3,17,15,16,9,4,6,16,12,4,18,11,10,7,8,21,15,22,11,11,15,15,12,31,2,8,5,7,23,14,11,15,8,27,23,11,10,19,13,22,7,24,15,17,11,13,8,8,24,13,26,5,7,13,26,19,16,7,11,14,13,15,37,12,16,13,26,23,7,33,9,7,31,12,8,26,30,17,9,10,7,10,4,29,38,8,64,21,34,19,36,34,24,56,6,29,19,23,70,16,26,27,39,33,8,39,15,39,29,18,37,32,30,35,15,16,28,17,25
12,820x244,8,13,2,12,6,30,14,10,2,8,14,14,5,4,3,16,9,9,2,4,0,20,14,11,11,11,5,8,11,5,8,4,11,8,15,0,8,11,4,7,2,1,6,11,6,4,7,2,4,13,15,4,1,1,19,18,18,5,3,5,8,13,2,6,9,3,3,5,7,8,16,10,7,7,3,5,5,2,0,12,0,9,2,6,3,8,14,11,7,8,7,2,8,3,14,4,2,0,0,6,6,6,5,17,3,12,11,1,8,7,1,21,15,16,10,15,5,2,7,6,2,13,6,8,4,2,5,9,6,3,2,32,8,17,5,9,0,3,2,8,0,8,12,4,7,11,20,5,7,6,15,1,2,8,15,5,1,1,3,7,10,12,14,6,10,7,10,5,22,9,2,8,24,6,10,12,17,18,18,16,14,11,4,2,13,16,15,3,5,4,3,3,1,11,24,4,14,2,4,10,3,6,10,3,13,9,12,18,21,7,28,18,3,17,10,1,11,8,10,13,14,9,6,13,8,13,19,5,11,7,13,9,23,23,8,24,15,14,13,5,16,25,15,24,7,3,38,9,12
15,262x468,21,3,18,2,39,82,38,18,18,26,23,28,27,14,13,9,15,18,20,33,35,27,3,15,27,6,13,8,26,23,18,15,17,18,19,16,24,59,16,38,11,28,14,28,17,17,12,11,15,20,8,28,13,28,22,18,11,8,16,10,25,22,18,29,5,6,21,18,18,17,16,15,11,9,25,16,18,8,14,15,10,19,22,10,8,16,32,6,7,53,6,8,26,26,38,9,32,24,14,27,32,17,14,19,21,16,24,18,12,43,12,16,18,25,40,9,20,32,26,23,16,19,12,23,24,15,19,7,32,10,25,23,33,12,11,19,2,28,8,11,18,26,8,15,25,7,10,30,19,26,45,28,4,12,4,14,16,32,18,8,12,22,32,24,25,19,12,23,47,11,14,15,49,19,6,16,12,14,23,20,23,15,20,6,19,46,18,13,4,12,30,29,18,34,15,18,22,13,8,34,7,24,42,9,11,31,23,9,31,16,32,10,6,33,27,8,47,25,41,19,32,25,22,41,13,31,41,31,62,21,79,31,34,29,15,32,17,34,24,28,35,52,38,22,13,21,71,55,26
17,752x690,33,12,29,31,56,115,30,48,35,48,28,20,29,48,33,25,22,12,21,47,26,21,42,34,40,35,40,12,33,19,71,22,36,53,32,17,42,47,26,35,21,54,19,55,31,32,48,34,25,53,31,21,37,31,32,55,38,34,39,31,46,19,24,23,44,23,28,29,26,31,48,36,43,41,19,20,17,18,12,30,37,28,31,11,17,48,15,26,43,37,35,22,18,15,33,24,17,15,14,25,25,13,38,31,18,26,33,18,29,38,28,36,33,69,39,24,30,30,27,24,26,49,26,37,28,33,30,27,49,47,31,18,24,30,26,32,29,24,17,34,42,29,25,46,15,42,24,50,31,46,65,25,25,33,25,29,19,18,33,34,32,19,17,42,37,34,37,20,49,47,66,21,47,31,8,66,22,46,23,52,26,25,25,37,29,27,58,38,22,13,22,16,32,57,48,31,35,36,25,27,16,44,34,34,42,26,46,46,38,41,37,26,22,65,72,25,121,34,90,19,69,50,27,72,23,95,59,51,117,40,44,44,55,63,29,92,51,56,53,46,56,68,68,30,27,61,83,20,55
18,700x716,18,9,14,14,20,51,22,26,24,17,16,16,17,21,16,7,8,22,16,13,21,12,21,17,14,12,20,19,12,16,35,17,14,30,10,11,13,68,6,22,7,37,27,21,14,11,26,3,6,7,27,8,1,14,34,17,35,6,13,31,34,16,12,7,10,7,16,16,26,2,22,17,25,20,18,9,12,23,26,16,24,14,18,7,26,18,10,7,2,31,13,7,38,9,15,17,15,19,18,11,6,28,13,12,28,20,33,23,3,16,25,9,23,14,12,13,23,22,12,8,17,23,7,19,21,8,16,3,14,13,8,14,16,20,21,19,19,19,6,11,22,10,10,9,21,5,14,27,11,10,13,13,12,12,17,3,8,5,25,15,13,2,20,5,30,28,5,26,31,11,31,23,53,11,9,35,19,12,9,14,22,10,16,25,18,6,19,8,8,12,11,11,21,42,34,16,18,10,6,33,14,24,17,6,29,20,2,19,25,12,26,9,26,24,33,4,52,16,31,10,27,26,13,24,7,29,34,15,35,12,48,30,25,22,18,24,25,31,28,10,31,41,24,11,11,18,80,33,19
19,732x724,24,29,31,19,19,55,23,35,12,17,9,23,21,2,20,25,4,24,13,12,21,24,31,11,14,17,15,11,29,5,27,26,10,23,31,12,25,17,14,17,12,22,18,29,14,10,19,12,9,32,34,14,8,8,23,21,8,16,11,13,21,18,8,13,11,13,33,23,13,36,29,16,14,19,9,14,12,12,16,17,10,15,19,15,21,23,19,10,10,25,7,20,12,6,26,23,15,17,3,16,24,19,35,27,15,39,15,22,12,15,27,21,25,15,27,12,22,15,21,12,26,17,16,12,19,20,18,10,50,24,16,13,17,31,10,11,16,16,23,23,31,9,23,27,9,45,45,11,17,25,33,13,18,20,11,18,8,23,20,15,13,18,6,15,15,20,15,24,31,18,22,31,31,12,19,26,19,10,29,25,21,14,9,20,17,23,21,15,16,12,21,13,21,15,17,2,28,18,22,28,19,14,30,24,19,26,19,11,16,26,16,20,13,30,39,5,53,19,64,16,34,38,25,27,12,42,46,36,36,15,15,29,26,29,15,39,30,48,31,21,31,41,37,20,17,23,36,10,24
21,234x558,20,12,8,11,35,60,20,17,18,18,22,29,6,3,24,12,4,30,4,14,7,22,7,8,10,29,13,14,33,18,18,21,3,15,3,6,21,14,14,17,19,16,8,39,8,16,14,12,42,30,16,11,24,12,15,27,18,15,7,21,19,20,23,42,9,10,16,11,17,9,12,31,17,21,3,27,11,1,15,16,21,17,16,4,3,7,14,22,4,28,12,13,12,15,10,16,10,4,16,12,5,19,23,24,28,5,6,6,26,10,3,23,14,8,15,8,11,15,6,17,12,13,20,17,22,21,16,5,19,15,10,28,17,9,13,12,8,22,0,27,15,18,1,16,22,40,23,36,7,15,25,1,9,29,25,6,6,18,15,3,11,12,2,22,10,6,10,8,22,29,3,2,36,12,3,33,50,15,20,40,6,17,12,19,25,18,32,20,10,6,17,14,13,31,21,15,25,2,3,43,10,8,13,25,28,27,14,18,6,15,22,9,16,7,21,3,37,13,19,9,30,28,19,28,11,35,24,16,66,19,24,17,29,32,17,43,22,22,19,15,31,43,25,23,13,18,45,14,26
